Incident Number,Incident Type,Mental Health Flag,Priority Level,Response Datetime,Response Day of Week,Response Hour,First Unit Arrived Datetime,Call Closed Datetime,Sector,Initial Problem Description,Initial Problem Category,Final Problem Description,Final Problem Category,Number of Units Arrived,Unit Time on Scene,Call Disposition Description,Report Written Flag,Response Time,Officer Injured/Killed Count,Subject Injured/Killed Count,Other Injured/Killed Count,Geo ID,Census Block Group,Council District
220371315,Dispatched Incident,Not Mental Health Incident,Priority 2,2/6/2022 21:48,Sun,21.0,2/6/2022 21:56,2/6/2022 22:19,Edward,Disturbance Vehicle Urgent,Disturbance,Disturbance Vehicle Urgent,Disturbance,1.0,1366.0,No Report,No,536.0,0.0,0.0,0.0,484530000000.0,4530400003.0,4.0
221470516,Dispatched Incident,Not Mental Health Incident,Priority 2,5/27/2022 9:21,Fri,9.0,5/27/2022 10:57,5/27/2022 11:51,Charlie,Crash Service,Crashes,Crash Urgent,Crashes,2.0,5319.0,No Report,No,5749.0,0.0,0.0,0.0,484530000000.0,4530010002.0,3.0
232870849,Dispatched Incident,Not Mental Health Incident,Priority 1,10/14/2023 12:55,Sat,12.0,10/14/2023 13:01,10/14/2023 14:50,Frank,Check Welfare Urgent,Welfare Check,Found Controlled Substance,Drugs,4.0,17257.0,Report Written,Yes,472.0,0.0,0.0,0.0,484530000000.0,4530024371.0,5.0
242240499,Dispatched Incident,Not Mental Health Incident,Priority 0,8/11/2024 6:59,Sun,6.0,8/11/2024 7:13,8/11/2024 7:27,Edward,Disturbance Hs,Disturbance,Disturbance Hs,Disturbance,2.0,1579.0,Unable To Locate,No,888.0,0.0,0.0,0.0,484530000000.0,4530401001.0,4.0
222571154,Dispatched Incident,Not Mental Health Incident,Priority 1,9/14/2022 19:01,Wed,19.0,9/14/2022 19:10,9/14/2022 19:13,Baker,Nature Unknown Urgent,Other,Nature Unknown Urgent,Other,2.0,172.0,No Report,No,587.0,0.0,0.0,0.0,484530000000.0,4530003091.0,9.0
222720430,Dispatched Incident,Not Mental Health Incident,Priority 2,9/29/2022 9:17,Thu,9.0,9/29/2022 9:20,9/29/2022 9:38,David,Disturbance Other,Disturbance,Disturbance Other,Disturbance,3.0,2012.0,No Report,No,253.0,0.0,0.0,0.0,484530000000.0,4530013044.0,5.0
230041011,Dispatched Incident,Not Mental Health Incident,Priority 0,1/4/2023 18:02,Wed,18.0,1/4/2023 18:10,1/4/2023 18:39,Adam,Traffic Hazard Hs,Traffic Stop/Hazard,Traffic Hazard Hs,Traffic Stop/Hazard,2.0,3393.0,No Report,No,633.0,0.0,0.0,0.0,484530000000.0,4530325002.0,7.0
222900233,Dispatched Incident,Not Mental Health Incident,Priority 1,10/17/2022 5:24,Mon,5.0,10/17/2022 6:29,10/17/2022 6:44,Adam,Disturbance Other,Disturbance,Check Welfare Urgent,Welfare Check,2.0,1456.0,No Report,No,3973.0,0.0,0.0,0.0,484530000000.0,4530305001.0,10.0
220300861,Dispatched Incident,Not Mental Health Incident,Priority 2,1/30/2022 14:37,Sun,14.0,1/30/2022 15:22,1/30/2022 15:47,Charlie,Alarm Burglar,Alarms,Alarm Burglar,Alarms,1.0,1534.0,False Alarm,No,2730.0,0.0,0.0,0.0,484530000000.0,4530009024.0,3.0
221650300,Dispatched Incident,Not Mental Health Incident,Priority 0,6/14/2022 6:53,Tue,6.0,6/14/2022 6:58,6/14/2022 7:40,Charlie,Traffic Hazard Hs,Traffic Stop/Hazard,Traffic Hazard Hs,Traffic Stop/Hazard,2.0,4278.0,Unable To Locate,No,439.0,0.0,0.0,0.0,484530000000.0,4530021113.0,3.0
222370205,Dispatched Incident,Not Mental Health Incident,Priority 2,8/25/2022 5:16,Thu,5.0,8/25/2022 5:22,8/25/2022 5:53,Frank,Alarm Burglar,Alarms,Alarm Burglar,Alarms,1.0,1847.0,False Alarm,No,492.0,0.0,0.0,0.0,484530000000.0,4530024371.0,5.0
232461375,Dispatched Incident,Not Mental Health Incident,Priority 1,9/3/2023 22:26,Sun,22.0,9/3/2023 22:35,9/4/2023 5:09,Edward,Check Welfare Urgent,Welfare Check,Dwi,DUI/DWI,4.0,38882.0,Report Written,Yes,834.0,0.0,0.0,0.0,484530000000.0,4530407002.0,4.0
231001427,Dispatched Incident,Not Mental Health Incident,Priority 0,4/10/2023 22:29,Mon,22.0,4/10/2023 22:33,4/10/2023 23:56,Henry,Disturbance Hs,Disturbance,Disturbance Hs,Disturbance,4.0,8215.0,No Report,No,309.0,0.0,0.0,0.0,484530000000.0,4530023132.0,3.0
241720852,Dispatched Incident,Mental Health Incident,Priority 1,6/20/2024 15:31,Thu,15.0,6/20/2024 15:36,6/20/2024 16:29,Charlie,Check Welfare Urgent,Welfare Check,Edp Intervention W/Contact,Welfare Check,4.0,7593.0,Report Written,Yes,399.0,0.0,0.0,0.0,484530000000.0,4530008022.0,1.0
230260101,Dispatched Incident,Not Mental Health Incident,Priority 1,1/26/2023 2:10,Thu,2.0,1/26/2023 2:14,1/26/2023 5:00,Edward,Nature Unknown Urgent,Other,Family Disturbance,Disturbance,3.0,25271.0,No Report,No,264.0,0.0,0.0,0.0,484530000000.0,4530440002.0,7.0
240910313,Dispatched Incident,Not Mental Health Incident,Priority 2,3/31/2024 4:07,Sun,4.0,3/31/2024 4:20,3/31/2024 7:04,Frank,Suspicious Vehicle,Suspicious Things,Dwi,DUI/DWI,5.0,23469.0,Report Written,Yes,846.0,0.0,0.0,0.0,484530000000.0,4530024191.0,2.0
220010416,Dispatched Incident,Not Mental Health Incident,Priority 0,1/1/2022 4:16,Sat,4.0,1/1/2022 4:23,1/1/2022 4:35,Henry,Disturbance Hs,Disturbance,Disturbance Hs,Disturbance,2.0,1318.0,No Report,No,427.0,0.0,0.0,0.0,484530000000.0,4530023145.0,3.0
222530790,Dispatched Incident,Not Mental Health Incident,Priority 2,9/10/2022 13:05,Sat,13.0,9/10/2022 14:25,9/10/2022 14:50,Henry,Suspicious Person,Suspicious Things,Suspicious Person,Suspicious Things,1.0,1488.0,Unable To Locate,No,4818.0,0.0,0.0,0.0,484530000000.0,4530023201.0,3.0
233170825,Dispatched Incident,Not Mental Health Incident,Priority 1,11/13/2023 14:08,Mon,14.0,11/13/2023 14:14,11/13/2023 15:14,Baker,Check Welfare Urgent,Welfare Check,Check Welfare Urgent,Welfare Check,2.0,5264.0,No Report,No,510.0,0.0,0.0,0.0,484530000000.0,4530001013.0,10.0
222830317,Dispatched Incident,Mental Health Incident,Priority 2,10/10/2022 7:17,Mon,7.0,10/10/2022 7:20,10/10/2022 8:05,David,Suspect Bag-Etd,Suspicious Things,Suspicious Person,Suspicious Things,2.0,4991.0,No Report,No,248.0,0.0,0.0,0.0,484530000000.0,4530335001.0,8.0
241000197,Dispatched Incident,Not Mental Health Incident,Priority 0,4/9/2024 5:43,Tue,5.0,4/9/2024 6:15,4/9/2024 7:02,Edward,Crash Hs,Crashes,Crash Hs,Crashes,2.0,1303.0,Report Written,Yes,2053.0,0.0,0.0,0.0,484530000000.0,4530400003.0,4.0
232250421,Dispatched Incident,Not Mental Health Incident,Priority 2,8/13/2023 7:47,Sun,7.0,8/13/2023 7:59,8/13/2023 8:13,Edward,Suspicious Unknown,Suspicious Things,Suspicious Unknown,Suspicious Things,2.0,936.0,Unable To Locate,No,790.0,0.0,0.0,0.0,484530000000.0,4530436002.0,1.0
222370619,Dispatched Incident,Not Mental Health Incident,Priority 1,8/25/2022 11:56,Thu,11.0,8/25/2022 11:59,8/25/2022 12:17,Airport,Airport Assist,Assistance,Airport Assist,Assistance,2.0,1257.0,No Report,No,152.0,0.0,0.0,0.0,484540000000.0,4539800001.0,2.0
240870731,Dispatched Incident,Not Mental Health Incident,Priority 2,3/27/2024 13:53,Wed,13.0,3/27/2024 13:59,3/27/2024 15:32,Frank,Trespass Urgent,Trespassing,Found/Abandoned Hazardous,Drugs,1.0,5584.0,Report Written,Yes,384.0,0.0,0.0,0.0,484530000000.0,4530024371.0,5.0
221690685,Dispatched Incident,Mental Health Incident,Priority 1,6/18/2022 12:20,Sat,12.0,6/18/2022 12:31,6/18/2022 15:40,Edward,Check Welfare Urgent,Welfare Check,Emergency Detention,Welfare Check,4.0,22428.0,No Report,Yes,718.0,0.0,0.0,0.0,484530000000.0,4530407004.0,4.0
212690990,Dispatched Incident,Not Mental Health Incident,Priority 1,9/26/2021 15:20,Sun,15.0,9/26/2021 15:30,9/26/2021 16:31,Frank,Disturbance Urgent,Disturbance,Family Disturbance,Disturbance,2.0,5091.0,Report Written,Yes,668.0,0.0,0.0,0.0,484530000000.0,4530318003.0,5.0
232600842,Dispatched Incident,Not Mental Health Incident,Priority 3,9/17/2023 13:47,Sun,13.0,9/17/2023 13:59,9/17/2023 14:41,Adam,Crash Service,Crashes,Crash Private Property,Crashes,1.0,2506.0,No Report,No,811.0,0.0,0.0,0.0,484910000000.0,4910204032.0,6.0
232651088,Dispatched Incident,Not Mental Health Incident,Priority 2,9/22/2023 16:04,Fri,16.0,9/22/2023 16:11,9/22/2023 16:47,Henry,Traffic Hazard Hs,Traffic Stop/Hazard,Traffic Hazard Hs,Traffic Stop/Hazard,2.0,2333.0,No Report,No,554.0,0.0,0.0,0.0,484530000000.0,4530023201.0,3.0
213450856,Dispatched Incident,Mental Health Incident,Priority 0,12/11/2021 13:43,Sat,13.0,12/11/2021 13:49,12/11/2021 15:59,Frank,Nature Unknown Urgent,Other,Attempted Suicide Hs,Welfare Check,5.0,24748.0,Reassigned call,No,377.0,0.0,0.0,0.0,484530000000.0,4530024092.0,2.0
212061539,Dispatched Incident,Not Mental Health Incident,Priority 0,7/25/2021 21:40,Sun,21.0,7/25/2021 21:45,7/25/2021 22:43,Adam,Suspicious Person,Suspicious Things,Criminal Trespass Notice,Trespassing,3.0,9262.0,Report Written,Yes,303.0,0.0,0.0,0.0,484530000000.0,4530316001.0,6.0
220751570,Dispatched Incident,Not Mental Health Incident,Priority 2,3/16/2022 23:48,Wed,23.0,3/17/2022 0:04,3/17/2022 0:06,Henry,Suspicious Person,Suspicious Things,Suspicious Person,Suspicious Things,1.0,132.0,Unable To Locate,No,1065.0,0.0,0.0,0.0,484530000000.0,4530023243.0,3.0
223290532,Dispatched Incident,Mental Health Incident,Priority 2,11/25/2022 11:22,Fri,11.0,11/25/2022 11:22,11/25/2022 12:05,Charlie,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,1.0,2555.0,No Report,No,93.0,0.0,0.0,0.0,484530000000.0,4530009012.0,1.0
220920884,Dispatched Incident,Mental Health Incident,Priority 2,4/2/2022 15:26,Sat,15.0,4/2/2022 16:29,4/2/2022 17:21,Adam,Disturbance Other,Disturbance,Assist Complainant,Assistance,2.0,5635.0,Non-Police Matter,No,3826.0,0.0,0.0,0.0,484910000000.0,4910205081.0,6.0
232381705,Dispatched Incident,Not Mental Health Incident,Priority 2,8/26/2023 23:53,Sat,23.0,8/27/2023 0:43,8/27/2023 1:34,Ida,Disturbance Other,Disturbance,Disturbance Other,Disturbance,1.0,3114.0,No Report,No,3065.0,0.0,0.0,0.0,484530000000.0,4530021123.0,1.0
221161252,Dispatched Incident,Not Mental Health Incident,Priority 2,4/26/2022 21:13,Tue,21.0,4/26/2022 21:47,4/26/2022 21:53,Edward,Alarm Burglar,Alarms,False Burglar Alarm,Alarms,1.0,340.0,False Alarm,No,2102.0,0.0,0.0,0.0,484530000000.0,4530408003.0,4.0
220511552,Dispatched Incident,Not Mental Health Incident,Priority 2,2/20/2022 23:46,Sun,23.0,2/21/2022 0:20,2/21/2022 0:25,Adam,Suspicious Vehicle,Suspicious Things,Suspicious Vehicle,Suspicious Things,1.0,288.0,Unable To Locate,No,2208.0,0.0,0.0,0.0,484910000000.0,4910204054.0,6.0
232721163,Dispatched Incident,Not Mental Health Incident,Priority 2,9/29/2023 17:50,Fri,17.0,9/29/2023 17:59,9/29/2023 18:36,Baker,Alarm Burglar,Alarms,Alarm Burglar,Alarms,1.0,2198.0,False Alarm,No,563.0,0.0,0.0,0.0,484530000000.0,4530006051.0,9.0
230181399,Dispatched Incident,Not Mental Health Incident,Priority 2,1/18/2023 23:03,Wed,23.0,1/18/2023 23:15,1/18/2023 23:58,Charlie,Alarm Burglar,Alarms,Alarm Burglar,Alarms,2.0,3629.0,False Alarm,No,800.0,0.0,0.0,0.0,484530000000.0,4530021082.0,1.0
241530806,Dispatched Incident,Not Mental Health Incident,Priority 1,6/1/2024 13:21,Sat,13.0,6/1/2024 14:05,6/1/2024 14:50,David,Check Welfare Urgent,Welfare Check,Disturbance Urgent,Disturbance,1.0,2719.0,No Report,No,2691.0,0.0,0.0,0.0,484530000000.0,4530023232.0,9.0
220891462,Dispatched Incident,Not Mental Health Incident,Priority 2,3/30/2022 22:00,Wed,22.0,3/30/2022 22:06,3/30/2022 23:30,George,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,2.0,8314.0,No Report,No,357.0,0.0,0.0,0.0,484530000000.0,4530011023.0,9.0
231171044,Dispatched Incident,Not Mental Health Incident,Priority 2,4/27/2023 16:29,Thu,16.0,4/27/2023 16:34,4/27/2023 17:21,Ida,Crash Urgent,Crashes,Crash Cr3,Crashes,2.0,5306.0,Report Written,Yes,411.0,0.0,0.0,0.0,484530000000.0,4530021054.0,1.0
212831038,Dispatched Incident,Not Mental Health Incident,Priority 0,10/10/2021 15:53,Sun,15.0,10/10/2021 15:54,10/10/2021 16:13,David,Pedestrian On Hsr,Traffic Stop/Hazard,Pedestrian On Hsr,Traffic Stop/Hazard,2.0,1903.0,No Report,No,117.0,0.0,0.0,0.0,484530000000.0,4530024031.0,3.0
223010163,Dispatched Incident,Not Mental Health Incident,Priority 2,10/28/2022 3:07,Fri,3.0,10/28/2022 3:17,10/28/2022 3:43,Adam,Alarm Burglar,Alarms,False Burglar Alarm,Alarms,1.0,1568.0,False Alarm,No,584.0,0.0,0.0,0.0,484910000000.0,4910203341.0,6.0
232731025,Dispatched Incident,Not Mental Health Incident,Priority 3,9/30/2023 16:43,Sat,16.0,9/30/2023 17:48,9/30/2023 19:06,Charlie,Shots Fired,Shoot/Stab,Check Welfare Service,Welfare Check,2.0,5998.0,No Report,No,3975.0,0.0,0.0,0.0,484530000000.0,4530003081.0,9.0
232990731,Dispatched Incident,Not Mental Health Incident,Priority 2,10/26/2023 13:27,Thu,13.0,10/26/2023 13:49,10/26/2023 14:48,David,Disturbance Other,Disturbance,Family Disturbance,Disturbance,1.0,3561.0,Report Written,Yes,1514.0,0.0,0.0,0.0,484530000000.0,4530320003.0,8.0
230860989,Dispatched Incident,Not Mental Health Incident,Priority 2,3/27/2023 16:25,Mon,16.0,3/27/2023 16:41,3/27/2023 17:17,Ida,Trespass Urgent,Trespassing,Criminal Trespass Notice,Trespassing,2.0,3571.0,Report Written,Yes,1063.0,0.0,0.0,0.0,484530000000.0,4530402001.0,4.0
221361245,Dispatched Incident,Not Mental Health Incident,Priority 2,5/16/2022 19:15,Mon,19.0,5/16/2022 19:26,5/16/2022 19:42,Adam,Disturbance Other,Disturbance,Disturbance Other,Disturbance,2.0,1855.0,Report Written,Yes,726.0,0.0,0.0,0.0,484910000000.0,4910205081.0,6.0
240460939,Dispatched Incident,Not Mental Health Incident,Priority 2,2/15/2024 16:21,Thu,16.0,2/15/2024 16:52,2/15/2024 17:01,David,Traffic Hazard,Traffic Stop/Hazard,Traffic Hazard,Traffic Stop/Hazard,1.0,546.0,No Report,No,1887.0,0.0,0.0,0.0,484530000000.0,4530019201.0,8.0
241391495,Dispatched Incident,Not Mental Health Incident,Priority 2,5/18/2024 21:00,Sat,21.0,5/18/2024 22:45,5/18/2024 22:45,Frank,Suspicious Person,Suspicious Things,Suspicious Person,Suspicious Things,1.0,10.0,No Report,No,6554.0,0.0,0.0,0.0,484530000000.0,4530024402.0,2.0
220080899,Dispatched Incident,Not Mental Health Incident,Priority 0,1/8/2022 17:33,Sat,17.0,1/8/2022 17:50,1/8/2022 18:35,Edward,Disturbance Hs,Disturbance,Disturbance Hs,Disturbance,2.0,5283.0,No Report,No,1102.0,0.0,0.0,0.0,484530000000.0,4530435001.0,1.0
232970657,Dispatched Incident,Not Mental Health Incident,Priority 2,10/24/2023 12:51,Tue,12.0,10/24/2023 13:02,10/24/2023 14:30,David,Assist Non Emergency,Assistance,Crash Cr3,Crashes,1.0,5281.0,Report Written,Yes,696.0,0.0,0.0,0.0,484530000000.0,4530019151.0,8.0
231831092,Dispatched Incident,Not Mental Health Incident,Priority 2,7/2/2023 17:36,Sun,17.0,7/2/2023 17:47,7/2/2023 18:52,Charlie,Disturbance Other,Disturbance,Harassment,Intimidation,1.0,3866.0,Report Written,Yes,817.0,0.0,0.0,0.0,484530000000.0,4530022111.0,1.0
220920532,Dispatched Incident,Not Mental Health Incident,Priority 2,4/2/2022 9:54,Sat,9.0,4/2/2022 10:06,4/2/2022 10:16,David,Suspicious Person,Suspicious Things,Assist Complainant,Assistance,2.0,1065.0,No Report,No,839.0,0.0,0.0,0.0,484530000000.0,4530020032.0,3.0
242220628,Dispatched Incident,Not Mental Health Incident,Priority 2,8/9/2024 10:13,Fri,10.0,8/9/2024 10:18,8/9/2024 11:10,Frank,Crash Urgent,Crashes,Crash Urgent,Crashes,1.0,3161.0,Non-Police Matter,No,430.0,0.0,0.0,0.0,484530000000.0,4530024511.0,2.0
212360976,Dispatched Incident,Not Mental Health Incident,Priority 2,8/24/2021 15:55,Tue,15.0,8/24/2021 15:56,8/24/2021 16:09,George,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,2.0,920.0,No Report,No,74.0,0.0,0.0,0.0,484530000000.0,4530011032.0,9.0
232450288,Dispatched Incident,Not Mental Health Incident,Priority 2,9/2/2023 3:27,Sat,3.0,9/2/2023 3:42,9/2/2023 4:18,Charlie,Prowler Hs,Suspicious Things,Suspicious Person,Suspicious Things,2.0,2463.0,No Report,No,928.0,0.0,0.0,0.0,484530000000.0,4530008033.0,1.0
220781617,Dispatched Incident,Mental Health Incident,Priority 2,3/19/2022 22:22,Sat,22.0,3/19/2022 22:40,3/19/2022 22:42,David,Mischief / Vandalism,Property Damage/Vandalism,Mischief / Vandalism,Property Damage/Vandalism,2.0,223.0,No Report,No,1095.0,0.0,0.0,0.0,484530000000.0,4530013091.0,5.0
233210906,Dispatched Incident,Not Mental Health Incident,Priority 2,11/17/2023 15:53,Fri,15.0,11/17/2023 16:28,11/17/2023 17:12,Henry,Suspicious Unknown,Suspicious Things,Suspicious Unknown,Suspicious Things,1.0,2668.0,No Report,No,2144.0,0.0,0.0,0.0,484530000000.0,4530023232.0,9.0
222920866,Dispatched Incident,Not Mental Health Incident,Priority 2,10/19/2022 15:19,Wed,15.0,10/19/2022 15:21,10/19/2022 15:26,Baker,Disturbance Other,Disturbance,Disturbance Other,Disturbance,1.0,320.0,Non-Police Matter,No,201.0,0.0,0.0,0.0,484530000000.0,4530007001.0,9.0
230620054,Dispatched Incident,Not Mental Health Incident,Priority 3,3/3/2023 0:48,Fri,0.0,3/3/2023 1:16,3/3/2023 1:16,Baker,Sex Crime Service,Sex Crimes,Service,Other,1.0,3.0,Supplement Written,No,1755.0,0.0,0.0,0.0,484530000000.0,4530003093.0,9.0
231941175,Dispatched Incident,Not Mental Health Incident,Priority 2,7/13/2023 18:23,Thu,18.0,7/13/2023 18:38,7/13/2023 19:02,Charlie,Alarm Burglar,Alarms,False Burglar Alarm,Alarms,1.0,1464.0,False Alarm,No,874.0,0.0,0.0,0.0,484530000000.0,4530008031.0,1.0
221761226,Dispatched Incident,Not Mental Health Incident,Priority 2,6/25/2022 18:32,Sat,18.0,6/25/2022 18:47,6/25/2022 20:05,Frank,Trespass Urgent,Trespassing,Criminal Trespass Notice,Trespassing,1.0,4691.0,Report Written,Yes,931.0,0.0,0.0,0.0,484530000000.0,4530024371.0,5.0
232710217,Dispatched Incident,Not Mental Health Incident,Priority 1,9/28/2023 5:22,Thu,5.0,9/28/2023 5:30,9/28/2023 6:02,Frank,Disturbance Hs,Disturbance,Disturbance Urgent,Disturbance,4.0,6008.0,No Report,No,538.0,0.0,0.0,0.0,484530000000.0,4530024132.0,2.0
230760527,Dispatched Incident,Not Mental Health Incident,Priority 2,3/17/2023 9:13,Fri,9.0,3/17/2023 9:18,3/17/2023 9:26,Charlie,Traffic Hazard,Traffic Stop/Hazard,Traffic Hazard,Traffic Stop/Hazard,1.0,451.0,Non-Police Matter,No,344.0,0.0,0.0,0.0,484530000000.0,4530021082.0,1.0
241851357,Dispatched Incident,Not Mental Health Incident,Priority 2,7/3/2024 20:41,Wed,20.0,7/3/2024 21:58,7/3/2024 22:28,Frank,Alarm Burglar,Alarms,Alarm Burglar,Alarms,1.0,1797.0,False Alarm,No,4616.0,0.0,0.0,0.0,484530000000.0,4530310001.0,5.0
223451306,Dispatched Incident,Not Mental Health Incident,Priority 2,12/11/2022 20:18,Sun,20.0,12/11/2022 21:50,12/11/2022 22:03,Edward,Disturbance Other,Disturbance,Disturbance Other,Disturbance,2.0,1483.0,Unable To Locate,No,5674.0,0.0,0.0,0.0,484530000000.0,4530438001.0,1.0
223360936,Dispatched Incident,Not Mental Health Incident,Priority 3,12/2/2022 16:49,Fri,16.0,12/2/2022 17:53,12/2/2022 18:47,Frank,Disturbance Service,Disturbance,Disturbance Service,Disturbance,1.0,3260.0,No Report,No,4057.0,0.0,0.0,0.0,484530000000.0,4530024231.0,5.0
241970096,Dispatched Incident,Not Mental Health Incident,Priority 2,7/15/2024 1:19,Mon,1.0,7/15/2024 1:33,7/15/2024 2:25,Edward,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,6.0,15414.0,No Report,No,922.0,0.0,0.0,0.0,484530000000.0,4530441001.0,7.0
242041356,Dispatched Incident,Not Mental Health Incident,Priority 3,7/22/2024 21:03,Mon,21.0,7/22/2024 21:27,7/22/2024 22:35,Charlie,Check Welfare Service,Welfare Check,Check Welfare Service,Welfare Check,3.0,8742.0,No Report,No,1520.0,0.0,0.0,0.0,484530000000.0,4530004022.0,1.0
220041112,Dispatched Incident,Mental Health Incident,Priority 0,1/4/2022 20:18,Tue,20.0,1/4/2022 20:22,1/5/2022 1:15,Charlie,Disturbance Hs,Disturbance,Agg Aslt Strangle/Suffocate,Aggravated Assault,4.0,39173.0,Report Written,Yes,285.0,0.0,0.0,0.0,484530000000.0,4530009021.0,3.0
223140176,Dispatched Incident,Not Mental Health Incident,Priority 1,11/10/2022 3:54,Thu,3.0,11/10/2022 4:10,11/10/2022 4:31,Charlie,Alarm Other,Alarms,False Burglar Alarm,Alarms,2.0,2237.0,False Alarm,No,1109.0,0.0,0.0,0.0,484530000000.0,4530021082.0,1.0
232171451,Dispatched Incident,Not Mental Health Incident,Priority 2,8/5/2023 21:22,Sat,21.0,8/5/2023 22:18,8/5/2023 22:30,Adam,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,3.0,1505.0,Unable To Locate,No,3431.0,0.0,0.0,0.0,484530000000.0,4530454003.0,7.0
231380330,Dispatched Incident,Not Mental Health Incident,Priority 2,5/18/2023 6:37,Thu,6.0,5/18/2023 6:46,5/18/2023 8:15,Airport,Assist Non Emergency,Assistance,Request Apprehen,Warrants/RTA,2.0,7819.0,Report Written,Yes,492.0,0.0,0.0,0.0,484540000000.0,4539800001.0,2.0
222210966,Dispatched Incident,Not Mental Health Incident,Priority 2,8/9/2022 16:38,Tue,16.0,8/9/2022 16:49,8/9/2022 17:04,Henry,Suspicious Person,Suspicious Things,Suspicious Person,Suspicious Things,1.0,867.0,Unable To Locate,No,699.0,0.0,0.0,0.0,484530000000.0,4530023071.0,3.0
213340065,Dispatched Incident,Not Mental Health Incident,Priority 0,11/30/2021 1:33,Tue,1.0,11/30/2021 1:38,11/30/2021 4:25,Baker,Disturbance Hs,Disturbance,Family Disturbance,Disturbance,3.0,12240.0,Report Written,Yes,402.0,0.0,0.0,0.0,484530000000.0,4530003081.0,9.0
222220707,Dispatched Incident,Not Mental Health Incident,Priority 3,8/10/2022 13:17,Wed,13.0,8/10/2022 13:25,8/10/2022 13:53,Baker,Check Welfare Service,Welfare Check,Check Welfare Service,Welfare Check,1.0,1711.0,No Report,No,537.0,0.0,0.0,0.0,484530000000.0,4530003021.0,9.0
222341036,Dispatched Incident,Not Mental Health Incident,Priority 2,8/22/2022 16:37,Mon,16.0,8/22/2022 17:15,8/22/2022 17:30,Frank,Traffic Hazard,Traffic Stop/Hazard,Traffic Hazard,Traffic Stop/Hazard,1.0,906.0,No Report,No,2310.0,0.0,0.0,0.0,484530000000.0,4530024221.0,2.0
233170313,Dispatched Incident,Not Mental Health Incident,Priority 2,11/13/2023 6:01,Mon,6.0,11/13/2023 6:24,11/13/2023 6:33,Edward,Traffic Hazard Hs,Traffic Stop/Hazard,Traffic Hazard,Traffic Stop/Hazard,1.0,516.0,No Report,No,1443.0,0.0,0.0,0.0,484530000000.0,4530416003.0,4.0
211961631,Dispatched Incident,Not Mental Health Incident,Priority 1,7/15/2021 22:29,Thu,22.0,7/15/2021 22:37,7/15/2021 23:18,Baker,Burglary Urgent,Burglary,False Burglar Alarm,Alarms,1.0,2456.0,False Alarm,No,598.0,0.0,0.0,0.0,484530000000.0,4530012002.0,9.0
230541256,Dispatched Incident,Not Mental Health Incident,Priority 2,2/23/2023 19:20,Thu,19.0,2/23/2023 19:43,2/23/2023 21:30,Baker,Disturbance Other,Disturbance,Stalking,Intimidation,2.0,7207.0,Report Written,Yes,1445.0,0.0,0.0,0.0,484530000000.0,4530003092.0,9.0
233350309,Dispatched Incident,Not Mental Health Incident,Priority 2,12/1/2023 6:41,Fri,6.0,12/1/2023 6:48,12/1/2023 8:01,Ida,Doc / C.o. Violation,Disorderly Conduct,Alarm Other,Alarms,2.0,7140.0,Unable To Locate,No,434.0,0.0,0.0,0.0,484530000000.0,4530405003.0,7.0
230281553,Dispatched Incident,Mental Health Incident,Priority 2,1/28/2023 23:44,Sat,23.0,1/28/2023 23:54,1/29/2023 1:08,David,Trespass Urgent,Trespassing,Stalking Info,Intimidation,2.0,7978.0,Report Written,Yes,695.0,0.0,0.0,0.0,484530000000.0,4530019201.0,8.0
230701474,Dispatched Incident,Not Mental Health Incident,Priority 2,3/11/2023 19:54,Sat,19.0,3/11/2023 20:19,3/11/2023 20:24,Edward,Trespass Urgent,Trespassing,Trespass Urgent,Trespassing,1.0,348.0,No Report,No,1530.0,0.0,0.0,0.0,484530000000.0,4530401002.0,4.0
232441357,Dispatched Incident,Not Mental Health Incident,Priority 1,9/1/2023 20:01,Fri,20.0,9/1/2023 20:03,9/1/2023 20:21,Charlie,Check Welfare Urgent,Welfare Check,Check Welfare Urgent,Welfare Check,4.0,3145.0,No Report,No,213.0,0.0,0.0,0.0,484530000000.0,4530010003.0,3.0
223430248,Dispatched Incident,Not Mental Health Incident,Priority 1,12/9/2022 5:34,Fri,5.0,12/9/2022 5:39,12/9/2022 6:43,Edward,Shots Fired,Shoot/Stab,Shots Fired,Shoot/Stab,2.0,5489.0,No Report,No,341.0,0.0,0.0,0.0,484530000000.0,4530409002.0,4.0
241970013,Dispatched Incident,Not Mental Health Incident,Priority 2,7/15/2024 0:09,Mon,0.0,7/15/2024 0:27,7/15/2024 1:00,Baker,Traffic Hazard,Traffic Stop/Hazard,Traffic Hazard,Traffic Stop/Hazard,2.0,845.0,No Report,No,1107.0,0.0,0.0,0.0,484530000000.0,4530012005.0,9.0
221261289,Dispatched Incident,Not Mental Health Incident,Priority 2,5/6/2022 19:16,Fri,19.0,5/6/2022 19:22,5/6/2022 21:19,Airport,Disturbance Other,Disturbance,Disturbance Other,Disturbance,3.0,7612.0,No Report,No,332.0,0.0,0.0,0.0,484540000000.0,4539800001.0,2.0
